0.000000000000000e+00	0.000000e+00
5.242879851721227e-04	1.573056e-06
1.048575970344245e-03	3.129974e-06
2.048575970344245e-03	6.055651e-06
3.048575970344245e-03	8.925032e-06
5.048575970344246e-03	1.450087e-05
7.048575970344246e-03	1.986884e-05
9.175578059311511e-03	2.536131e-05
1.236093088967265e-02	3.319420e-05
1.636093088967266e-02	4.241116e-05
1.848182000000000e-02	4.703767e-05
2.368182000000000e-02	5.767610e-05
2.757273000000000e-02	6.502818e-05
3.377273000000000e-02	7.576288e-05
3.706364000000000e-02	8.100598e-05
4.486364000000001e-02	9.227640e-05
5.395455000000001e-02	1.035385e-04
6.433636000000001e-02	1.142272e-04
7.522727000000000e-02	1.233415e-04
8.631818000000001e-02	1.308836e-04
1.003000000000000e-01	1.385961e-04
1.255000000000000e-01	1.494750e-04
1.459444400000000e-01	1.567838e-04
1.923888900000000e-01	1.712665e-04
2.388333300000000e-01	1.845513e-04
2.842777800000000e-01	1.971223e-04
3.297222200000000e-01	2.095208e-04
3.751666700000000e-01	2.218517e-04
4.216111100000000e-01	2.344356e-04
4.680555600000000e-01	2.470275e-04
5.000000000000000e-01	2.557001e-04
