0.000000000000000e+00	0.000000e+00
2.621439925860614e-04	6.587418e-07
5.242879851721227e-04	1.310290e-06
1.048575970344245e-03	2.592200e-06
2.048575970344245e-03	4.961309e-06
3.048575970344245e-03	7.234943e-06
4.048575970344245e-03	9.417716e-06
5.048575970344246e-03	1.151389e-05
6.048575970344246e-03	1.352744e-05
8.048575970344245e-03	1.732112e-05
9.175578059311511e-03	1.932986e-05
1.136093088967265e-02	2.297935e-05
1.436093088967266e-02	2.750566e-05
1.736093088967266e-02	3.153186e-05
1.848182000000000e-02	3.291992e-05
2.168182000000000e-02	3.656877e-05
2.568182000000000e-02	4.055025e-05
2.797273000000000e-02	4.257987e-05
3.377273000000000e-02	4.704760e-05
3.706364000000000e-02	4.923132e-05
4.486364000000001e-02	5.365908e-05
5.604545000000000e-02	5.878171e-05
6.513636000000000e-02	6.231352e-05
7.522727000000000e-02	6.584559e-05
8.631818000000001e-02	6.943778e-05
1.003000000000000e-01	7.370655e-05
1.459444400000000e-01	8.675089e-05
1.923888900000000e-01	9.954281e-05
2.388333300000000e-01	1.122134e-04
2.842777800000000e-01	1.245862e-04
3.297222200000000e-01	1.369629e-04
3.751666700000000e-01	1.493530e-04
4.216111100000000e-01	1.620325e-04
4.680555600000000e-01	1.741024e-04
5.000000000000000e-01	1.821709e-04
